	SMALL LoBM LoOP	ME1 BM1 OP2	ME1 BM1 OP3	SMALL LoBM HiOP	ME1 BM2 OP1	ME1 BM2 OP2	ME1 BM2 OP3	ME1 BM2 OP4	ME1 BM3 OP1	ME1 BM3 OP2	ME1 BM3 OP3	ME1 BM3 OP4	SMALL HiBM LoOP	ME1 BM4 OP2	ME1 BM4 OP3	SMALL HiBM HiOP	BIG LoBM LoOP	ME2 BM1 OP2	ME2 BM1 OP3	BIG LoBM HiOP	ME2 BM2 OP1	ME2 BM2 OP2	ME2 BM2 OP3	ME2 BM2 OP4	ME2 BM3 OP1	ME2 BM3 OP2	ME2 BM3 OP3	ME2 BM3 OP4	BIG HiBM LoOP	ME2 BM4 OP2	ME2 BM4 OP3	BIG HiBM HiOP
200410	2.4822	3.9480	2.0805	2.9222	1.1841	1.6018	1.5245	2.4275	0.7262	0.3685	1.0205	1.3949	1.5180	2.0653	-0.5943	1.1795	2.8316	1.5590	1.5559	0.9291	1.8352	1.5663	2.8599	1.8586	5.0836	0.0262	1.5098	0.3474	1.6760	0.9986	1.8269	-4.3396
200411	7.7699	10.2486	8.7654	8.4825	9.5079	8.7599	8.3503	8.7985	7.6749	8.8374	7.4635	8.8018	8.4090	9.5625	9.7953	14.5951	6.0149	2.4850	2.1960	4.2668	6.7533	3.0828	5.5844	4.4529	7.3225	4.9713	2.9907	5.4209	4.7127	6.9347	4.1004	6.0684
200412	6.0947	4.0171	4.0868	2.6949	3.9201	1.7547	1.8016	2.3983	4.0012	2.3045	2.8524	0.7345	4.1221	5.0412	3.1808	8.2751	5.6228	-0.2679	4.1072	5.2838	3.7839	4.2610	1.6694	2.4117	2.7035	4.3666	4.2226	-0.1860	5.4133	3.8900	1.6841	5.1051
200501	-8.3806	-4.9852	-4.0407	-2.7735	-6.1306	-3.5921	-3.5774	-1.0454	-4.5742	-2.1680	-1.0861	-2.5009	-2.3443	-1.2900	-1.8525	-4.7725	-9.8095	-5.3453	-1.9452	-1.4375	-6.8875	-0.9479	-1.4501	-3.8747	-3.8275	0.0902	-3.5260	0.0037	-2.1371	1.2554	-0.7989	-3.1065
200502	-0.3118	1.8573	1.1297	1.7127	1.5198	0.7933	1.9322	2.9262	1.4602	2.4814	3.9969	5.2284	2.4602	3.9792	0.3545	1.6174	0.8172	1.9771	0.8585	0.7430	1.5653	0.2985	10.5692	0.5318	3.1281	1.0396	1.4115	6.9074	0.5810	3.9918	5.5539	-1.6786
200503	-6.8157	-2.0952	-2.0116	-2.6150	-4.8577	-2.0204	-1.9651	-3.2054	-2.7325	-1.3020	-0.6770	-0.2028	-3.1941	-0.5316	-0.9525	-0.4436	-2.3482	-1.4379	-1.7029	-0.4778	-2.7361	-2.7931	-2.7557	-0.4480	-0.2088	-3.6738	-0.9822	-3.6903	-0.4222	1.3004	-1.1265	-7.1694
200504	-8.2681	-5.8109	-5.7288	-5.3201	-8.0993	-6.0718	-5.5088	-5.2473	-6.5703	-5.2018	-4.0032	-8.0007	-7.4973	-4.9367	-5.1953	-0.6277	-1.2308	-0.0279	-1.3977	-2.1681	0.9619	0.3554	-3.5554	-1.9122	-6.8110	-3.4758	-0.5183	-3.8122	-2.8204	-1.9943	-0.1331	0.0027
200505	8.4089	5.8458	8.5087	6.7004	7.1355	5.3203	5.9596	7.2495	4.6718	4.5741	5.9296	5.2411	6.7756	6.3160	5.6952	8.9804	10.5933	5.4275	3.7243	2.3959	5.0613	2.2317	1.8797	2.9879	4.4184	1.9514	3.2488	3.7052	3.7265	3.9191	2.4037	6.9872
200506	3.5625	1.3921	2.9974	3.7100	3.0052	2.3957	4.1197	5.6369	3.7033	4.2698	3.5515	5.9454	5.2607	5.5941	5.4265	4.0587	-2.6776	-1.9982	-1.3469	-0.9165	1.1205	-0.7798	0.6361	2.6277	0.3413	3.4316	2.9621	2.8374	0.5052	4.5804	4.5831	5.9879
200507	9.6897	7.0275	6.2511	5.8701	9.5306	7.9479	6.2047	5.6384	5.9915	5.0439	6.4508	6.7166	6.6645	4.8191	6.2816	3.7075	6.1968	9.4364	4.0464	3.3800	7.5147	4.7794	2.4388	2.4934	3.0757	1.2733	1.8561	3.2975	3.4602	2.4838	7.1725	8.9892
